fb,tb,a,b,c
sourcebus,650,(1.2120615213637402+0.5305577314754677j),(0.9774407721486114+0.3398747027770752j),(1.2651661481795113+0.5429850402284501j)
650,rg60,(1.2120615213637402+0.5305577314754677j),(0.9774407721486114+0.3398747027770752j),(1.2651661481795113+0.5429850402284501j)
632,633,(0.1600003779846219+0.1100073420999807j),(0.1199992156646789+0.0899977940846363j),(0.120004225911541+0.0900065980663525j)
633,634,(0.1600003779846219+0.1100073420999807j),(0.1199992156646789+0.0899977940846363j),(0.120004225911541+0.0900065980663525j)
670,671,(1.0350611962199567+0.4105496904882847j),(0.46404098635931+0.08628437676004619j),(0.9509934599057199+0.25094366786295264j)
632,645,,(0.3274010711395452+0.12559366593292862j),(0.0771642287734493+0.1340293483276826j)
645,646,,(0.1574020305459645+0.0005964316391011j),(0.0771642287734493+0.1340293483276826j)
671,692,(0.527777573807831+0.12126814824206011j),(0.067999405805037-0.15391166633744072j),(0.4139129685780266+0.05352613566855772j)
692,675,(0.4850036262852353-0.00045121044019208467j),(0.067999405805037-0.15391166633744072j),(0.2900145532986001+0.027193761623606018j)
684,611,,,(0.1634593494092413-0.015074706084198614j)
684,652,(0.1219324474861396+0.0819315880784962j),,
632,670,(1.0520611433791183+0.420550389375487j),(0.5300404853443873+0.12428324275951999j),(1.067997693494521+0.3189490938344072j)
rg60,632,(1.2120615213637402+0.5305577314754677j),(0.9774407721486114+0.33987470277708487j),(1.2651661481795113+0.5429850402284423j)
671,680,(-0+0j),(-0+0j),(-0+0j)
671,684,(0.1219324474861396+0.0819315880784962j),,(0.1634593494092413-0.015074706084198603j)
